symbol,name,industry,enabled
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,true
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,true
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,true
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,true
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,true
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,true
SCI,Shipping Corporation of India Ltd.,Services,true
SHREECEM,Shree Cement Ltd.,Construction Materials,true
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,true
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,true
ENRIN,Siemens Energy India Ltd.,Capital Goods,true
SIEMENS,Siemens Ltd.,Capital Goods,true
SIGNATURE,Signatureglobal (India) Ltd.,Realty,true
SOBHA,Sobha Ltd.,Realty,true
SOLARINDS,Solar Industries India Ltd.,Chemicals,true
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,true
SONATSOFTW,Sonata Software Ltd.,Information Technology,true
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,true
SBIN,State Bank of India,Financial Services,true
SAIL,Steel Authority of India Ltd.,Metals & Mining,true
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,true
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,true
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,true
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,true
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,true
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,true
SUZLON,Suzlon Energy Ltd.,Capital Goods,true
SWANCORP,Swan Corp Ltd.,Chemicals,true
SWIGGY,Swiggy Ltd.,Consumer Services,true
SYNGENE,Syngene International Ltd.,Healthcare,true
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,true
TBOTEK,TBO Tek Ltd.,Consumer Services,true
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,true
TATACAP,Tata Capital Ltd.,Financial Services,true
TATACHEM,Tata Chemicals Ltd.,Chemicals,true
TATACOMM,Tata Communications Ltd.,Telecommunication,true
TCS,Tata Consultancy Services Ltd.,Information Technology,true
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,true
TATAELXSI,Tata Elxsi Ltd.,Information Technology,true
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,true
TMCV,Tata Motors Ltd.,Capital Goods,true
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,true
TATAPOWER,Tata Power Co. Ltd.,Power,true
TATASTEEL,Tata Steel Ltd.,Metals & Mining,true
TATATECH,Tata Technologies Ltd.,Information Technology,true
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,true
