symbol,name,industry,series,isin,exchange,trading_symbol,scrip_code,search_aliases,enabled
BSE:530093,ACE Edutrend Ltd,BSE Equity,Z,INE715F01014,BSE,ACEEDU,530093,530093 ACEEDU INE715F01014 ACE Edutrend Ltd,true
BSE:530109,Anupam Finserv Ltd,BSE Equity,X,INE069B01023,BSE,ANUPAM,530109,530109 ANUPAM INE069B01023 Anupam Finserv Ltd,true
BSE:530111,Raj Packaging Industries Ltd,BSE Equity,X,INE639C01013,BSE,RAJPACK,530111,530111 RAJPACK INE639C01013 Raj Packaging Industries Ltd,true
BSE:530119,Natraj Proteins Ltd,BSE Equity,X,INE444D01016,BSE,NATRAJPR,530119,530119 NATRAJPR INE444D01016 Natraj Proteins Ltd,true
BSE:530125,Samrat Pharmachem Ltd,BSE Equity,XT,INE103E01016,BSE,SAMRATPH,530125,530125 SAMRATPH INE103E01016 Samrat Pharmachem Ltd,true
BSE:530127,NPR Finance Ltd,BSE Equity,X,INE446D01011,BSE,NPRFIN,530127,530127 NPRFIN INE446D01011 NPR Finance Ltd,true
BSE:530133,Amco India Ltd,BSE Equity,X,INE924B01011,BSE,AMCOIND,530133,530133 AMCOIND INE924B01011 Amco India Ltd,true
BSE:530139,Kreon Finnancial Services Ltd,BSE Equity,XT,INE302C01018,BSE,KREONFIN,530139,530139 KREONFIN INE302C01018 Kreon Finnancial Services Ltd,true
BSE:530141,Gyan Developers & Builders Ltd,BSE Equity,XT,INE487G01018,BSE,GYANDEV,530141,530141 GYANDEV INE487G01018 Gyan Developers & Builders Ltd,true
BSE:530145,Kisan Mouldings Ltd,BSE Equity,XT,INE017C01012,BSE,KISAN,530145,530145 KISAN INE017C01012 Kisan Mouldings Ltd,true
BSE:530163,Kerala Ayurveda Ltd,BSE Equity,X,INE817B01025,BSE,KERALAYUR,530163,530163 KERALAYUR INE817B01025 Kerala Ayurveda Ltd,true
BSE:530167,Moongipa Capital Finance Ltd,BSE Equity,X,INE153K01018,BSE,MONGIPA,530167,530167 MONGIPA INE153K01018 Moongipa Capital Finance Ltd,true
BSE:530169,Mohit Paper Mills Ltd,BSE Equity,X,INE388C01017,BSE,MOHITPPR,530169,530169 MOHITPPR INE388C01017 Mohit Paper Mills Ltd,true
BSE:530171,Daulat Securities Ltd,BSE Equity,X,INE108C01019,BSE,DAULAT,530171,530171 DAULAT INE108C01019 Daulat Securities Ltd,true
BSE:530175,Odyssey Technologies Ltd,BSE Equity,X,INE213B01019,BSE,ODYSSEY,530175,530175 ODYSSEY INE213B01019 Odyssey Technologies Ltd,true
BSE:530179,RSC International Ltd,BSE Equity,XT,INE015F01019,BSE,RSCINT,530179,530179 RSCINT INE015F01019 RSC International Ltd,true
BSE:530185,Surat Trade and Mercantile Ltd,BSE Equity,X,INE936A01025,BSE,SURATRAML,530185,530185 SURATRAML INE936A01025 Surat Trade and Mercantile Ltd,true
BSE:530187,Atharv Enterprises Ltd,BSE Equity,X,INE354E01031,BSE,ATHARVENT,530187,530187 ATHARVENT INE354E01031 Atharv Enterprises Ltd,true
BSE:530197,Fundviser Capital (India) Ltd,BSE Equity,XT,INE365H01014,BSE,FUNDVISER,530197,530197 FUNDVISER INE365H01014 Fundviser Capital (India) Ltd,true
BSE:530201,Kallam Textiles Ltd,BSE Equity,XT,INE629F01025,BSE,KALLAM,530201,530201 KALLAM INE629F01025 Kallam Textiles Ltd,true
BSE:530207,Brawn Biotech Ltd,BSE Equity,X,INE899B01015,BSE,BRAWN,530207,530207 BRAWN INE899B01015 Brawn Biotech Ltd,true
BSE:530213,Fortune International Ltd,BSE Equity,X,INE501D01013,BSE,FORINTL,530213,530213 FORINTL INE501D01013 Fortune International Ltd,true
BSE:530215,Kings Infra Ventures Ltd,BSE Equity,X,INE050N01010,BSE,KINGSINFR,530215,530215 KINGSINFR INE050N01010 Kings Infra Ventures Ltd,true
BSE:530217,Swojas Foods Ltd,BSE Equity,XT,INE295B01016,BSE,SWOJAS,530217,530217 SWOJAS INE295B01016 Swojas Foods Ltd,true
BSE:530219,Nutricircle Ltd,BSE Equity,XT,INE536C01029,BSE,NUTRICIRCLE,530219,530219 NUTRICIRCLE INE536C01029 Nutricircle Ltd,true
BSE:530231,Subhash Silk Mills Ltd,BSE Equity,XT,INE690D01014,BSE,SUBSM,530231,530231 SUBSM INE690D01014 Subhash Silk Mills Ltd,true
BSE:530233,Auro Laboratories Ltd,BSE Equity,X,INE292C01011,BSE,AUROLAB,530233,530233 AUROLAB INE292C01011 Auro Laboratories Ltd,true
BSE:530235,KJMC Financial Services Ltd,BSE Equity,X,INE533C01018,BSE,KJMCFIN,530235,530235 KJMCFIN INE533C01018 KJMC Financial Services Ltd,true
BSE:530245,Aryaman Financial Services Ltd,BSE Equity,X,INE032E01017,BSE,ARYAMAN,530245,530245 ARYAMAN INE032E01017 Aryaman Financial Services Ltd,true
BSE:530249,Bridge Securities Ltd,BSE Equity,X,INE958C01025,BSE,BRIDGESE,530249,530249 BRIDGESE INE958C01025 Bridge Securities Ltd,true
BSE:530251,Risa International Ltd,BSE Equity,X,INE001O01029,BSE,RISAINTL,530251,530251 RISAINTL INE001O01029 Risa International Ltd,true
BSE:530253,Rajasthan Tube Manufacturing Company Ltd,BSE Equity,XT,INE497E01020,BSE,RAJTUBE,530253,530253 RAJTUBE INE497E01020 Rajasthan Tube Manufacturing Company Ltd,true
BSE:530255,Kay Power and Paper Ltd,BSE Equity,X,INE961B01013,BSE,KAYPOWR,530255,530255 KAYPOWR INE961B01013 Kay Power and Paper Ltd,true
BSE:530259,Inter State Oil Carrier Ltd,BSE Equity,X,INE003B01014,BSE,INTSTOIL,530259,530259 INTSTOIL INE003B01014 Inter State Oil Carrier Ltd,true
BSE:530263,Global Capital Markets Ltd,BSE Equity,X,INE062C01042,BSE,GLOBALCA,530263,530263 GLOBALCA INE062C01042 Global Capital Markets Ltd,true
BSE:530265,Sainik Finance & Industries Ltd,BSE Equity,X,INE584B01013,BSE,SAINIK,530265,530265 SAINIK INE584B01013 Sainik Finance & Industries Ltd,true
BSE:530267,Arigato Universe Ltd,BSE Equity,XT,INE021N01011,BSE,ARIGATO,530267,530267 ARIGATO INE021N01011 Arigato Universe Ltd,true
BSE:530271,Rich Universe Network Ltd,BSE Equity,XT,INE652D01014,BSE,RICHUNV,530271,530271 RICHUNV INE652D01014 Rich Universe Network Ltd,true
BSE:530281,Quantum Digital Vision India Ltd,BSE Equity,XT,INE373C01019,BSE,QUANTDIA,530281,530281 QUANTDIA INE373C01019 Quantum Digital Vision India Ltd,true
BSE:530289,SP Capital Financing Ltd,BSE Equity,X,INE102F01015,BSE,SPCAPIT,530289,530289 SPCAPIT INE102F01015 SP Capital Financing Ltd,true
BSE:530291,Paos Industries Ltd,BSE Equity,XT,INE791C01012,BSE,PAOS,530291,530291 PAOS INE791C01012 Paos Industries Ltd,true
BSE:530295,Shree Rajiv Lochan Oil Extraction Ltd,BSE Equity,X,INE418K01015,BSE,SHRAJOI,530295,530295 SHRAJOI INE418K01015 Shree Rajiv Lochan Oil Extraction Ltd,true
BSE:530309,Chandra Prabhu International Ltd,BSE Equity,X,INE368D01025,BSE,CHANDRAP,530309,530309 CHANDRAP INE368D01025 Chandra Prabhu International Ltd,true
BSE:530313,Kimia Biosciences Ltd,BSE Equity,X,INE285U01025,BSE,KIMIABL,530313,530313 KIMIABL INE285U01025 Kimia Biosciences Ltd,true
BSE:530315,Hindustan Tin Works Ltd,BSE Equity,X,INE428D01019,BSE,HINDTIN,530315,530315 HINDTIN INE428D01019 Hindustan Tin Works Ltd,true
BSE:530317,Godavari Drugs Ltd,BSE Equity,XT,INE362C01012,BSE,GODAVARI,530317,530317 GODAVARI INE362C01012 Godavari Drugs Ltd,true
BSE:530341,Mukesh Babu Financial Services Ltd,BSE Equity,X,INE596B01017,BSE,MUKESHB,530341,530341 MUKESHB INE596B01017 Mukesh Babu Financial Services Ltd,true
BSE:530357,KBS India Ltd,BSE Equity,X,INE883D01023,BSE,KBSINDIA,530357,530357 KBSINDIA INE883D01023 KBS India Ltd,true
BSE:530361,Prabhhans Industries Ltd,BSE Equity,XT,INE428P01013,BSE,PRABHHANS,530361,530361 PRABHHANS INE428P01013 Prabhhans Industries Ltd,true
BSE:530369,Vamshi Rubber Ltd,BSE Equity,X,INE380C01014,BSE,VAMSHIRU,530369,530369 VAMSHIRU INE380C01014 Vamshi Rubber Ltd,true
BSE:530401,Vinyoflex Ltd,BSE Equity,X,INE526H01011,BSE,VINYOFL,530401,530401 VINYOFL INE526H01011 Vinyoflex Ltd,true
BSE:530405,Jindal Capital Ltd,BSE Equity,X,INE356F01017,BSE,JINDCAP,530405,530405 JINDCAP INE356F01017 Jindal Capital Ltd,true
BSE:530407,EPIC Energy Ltd,BSE Equity,X,INE932F01015,BSE,EPIC,530407,530407 EPIC INE932F01015 EPIC Energy Ltd,true
